JCKBH,FAH,XWH,JKD,CDZ,KSSJ,JSSJ
4006,1,1,北,左,1900-01-01 17:41:26,1900-01-01 17:41:59
4006,1,1,北,左,1900-01-01 17:42:53,1900-01-01 17:43:26
4006,1,1,北,左,1900-01-01 17:44:20,1900-01-01 17:44:53
4006,1,1,北,左,1900-01-01 17:45:47,1900-01-01 17:46:20
4006,1,1,北,左,1900-01-01 17:47:14,1900-01-01 17:47:47
4006,1,1,北,左,1900-01-01 17:48:41,1900-01-01 17:49:14
4006,1,1,北,左,1900-01-01 17:50:08,1900-01-01 17:50:41
4006,1,1,北,左,1900-01-01 17:51:35,1900-01-01 17:52:08
4006,1,1,北,左,1900-01-01 17:53:02,1900-01-01 17:53:35
4006,1,1,北,左,1900-01-01 17:54:29,1900-01-01 17:55:02
4006,1,1,北,左,1900-01-01 17:55:56,1900-01-01 17:56:29
4006,1,1,北,左,1900-01-01 17:57:23,1900-01-01 17:57:56
4006,1,1,北,左,1900-01-01 17:58:50,1900-01-01 17:59:23
4006,1,1,北,左,1900-01-01 18:00:17,1900-01-01 18:00:50
4006,1,2,南,直,1900-01-01 17:01:23,1900-01-01 17:01:56
4006,1,2,南,直,1900-01-01 17:02:50,1900-01-01 17:03:23
4006,1,2,南,直,1900-01-01 17:04:17,1900-01-01 17:04:50
4006,1,2,南,直,1900-01-01 17:05:44,1900-01-01 17:06:17
4006,1,2,南,直,1900-01-01 17:07:11,1900-01-01 17:07:44
4006,1,2,南,直,1900-01-01 17:08:38,1900-01-01 17:09:11
4006,1,2,南,直,1900-01-01 17:10:05,1900-01-01 17:10:38
4006,1,2,南,直,1900-01-01 17:11:32,1900-01-01 17:12:05
4006,1,2,南,直,1900-01-01 17:12:59,1900-01-01 17:13:32
4006,1,2,南,直,1900-01-01 17:14:26,1900-01-01 17:14:59
4006,1,2,南,直,1900-01-01 17:15:53,1900-01-01 17:16:26
4006,1,2,南,直,1900-01-01 17:17:20,1900-01-01 17:17:53
4006,1,2,南,直,1900-01-01 17:18:47,1900-01-01 17:19:20
4006,1,2,南,直,1900-01-01 17:20:14,1900-01-01 17:20:47
4006,1,2,南,直,1900-01-01 17:21:41,1900-01-01 17:22:14
4006,1,2,南,直,1900-01-01 17:23:08,1900-01-01 17:23:41
4006,1,2,南,直,1900-01-01 17:24:35,1900-01-01 17:25:08
4006,1,2,南,直,1900-01-01 17:26:02,1900-01-01 17:26:35
4006,1,2,南,直,1900-01-01 17:27:29,1900-01-01 17:28:02
4006,1,2,南,直,1900-01-01 17:28:56,1900-01-01 17:29:29
4006,1,2,南,直,1900-01-01 17:30:23,1900-01-01 17:30:56
4006,1,2,南,直,1900-01-01 17:31:50,1900-01-01 17:32:23
4006,1,2,南,直,1900-01-01 17:33:17,1900-01-01 17:33:50
4006,1,2,南,直,1900-01-01 17:34:44,1900-01-01 17:35:17
4006,1,2,南,直,1900-01-01 17:36:11,1900-01-01 17:36:44
